Order - Status,Carrier - Service Sel,Date - Order Date,Date - Ship By Date,Order - Number,Item - SKU,MFPN,Item - Qty,Item - Name,Source,Market - Store Name,Order - Weight,Service - Package Type
Awaiting Shipment,UPS® Ground,1/31/2026 2:39:41 PM,,400045114,DM-EZGO-RXV24-GREY,DM68,1,E-Z-GO RXV Dash Mat - Fits RXV Trims (2024+) - PRO Series - Grey Trim,web,Xtreme Mats,176.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 1:54:52 PM,,400045113,RFM-PINS-BUNDLE,RFMPB,1,Replacement Push Pins & Drill Bit For PRO Series Rear Seat Kit Floor Mats - Black,web,Xtreme Mats,2.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 12:27:57 PM,,400045111,BW-EZGO-RXV-RED,BW03,1,Bag Well Mat for EZGO RXV RED Trim,web,Xtreme Mats,156.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 12:27:57 PM,,400045111,EZGO-RXV24-RED-AP,GCM104,1,EZGO RXV 2024 Front Row Red,web,Xtreme Mats,156.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 12:24:42 PM,,400045110,CLUB-PRESON-GREY,GCM02,1,Club Car Precedent/Onward - 1st row GREY Trim,web,Xtreme Mats,137.6,Package
Awaiting Shipment,UPS® Ground,1/31/2026 11:01:19 AM,2/2/2026 4:00:00 PM,111-7927765-5632234,BW-YAM-DR2-BLUE,BW22,1,Bag Well Mat for Yamaha DR2 BLUE Trim,amazon,Amazon Store,25.6,Package
Awaiting Shipment,UPS® Ground,1/31/2026 8:50:29 AM,2/2/2026 4:00:00 PM,114-9187796-6441817,GEN250300-BLK,RFM09,1,Madjax Genesis 250/300 - BLACK Trim,amazon,Amazon Store,77.2,Package
Awaiting Shipment,UPS® Ground,1/31/2026 8:50:29 AM,2/2/2026 4:00:00 PM,114-9187796-6441817,RFM-PINS-BUNDLE,RFMPB,1,Plastic Pins + Drill Bit Combo for Rear Floor Mats (RFM),amazon,Amazon Store,77.2,Package
Awaiting Shipment,UPS® Ground,1/31/2026 8:09:21 AM,,400045105,MAX56-RED,RFM13,1,DoubleTake Max5 & Max6 - RED Trim,web,Xtreme Mats,77.2,Package
Awaiting Shipment,UPS® Ground,1/31/2026 8:09:21 AM,,400045105,RFM-PINS-BUNDLE,RFMPB,1,Plastic Pins + Drill Bit Combo for Rear Floor Mats (RFM),web,Xtreme Mats,77.2,Package
Awaiting Shipment,UPS® Ground,1/31/2026 7:42:26 AM,,400045104,DM-YAM-DR2-BLUE,DM22,1,Dash Mats for Yamaha DR2 BLUE Trim,web,Xtreme Mats,24.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 6:26:09 AM,2/2/2026 4:00:00 PM,113-7764396-8189065,EZGO-RT-RFM-BLUE,RFM34,1,EZGO RXV / TXT Rear Floor Mat PRO Series - BLUE Trim,amazon,Amazon Store,93.2,Package
Awaiting Shipment,UPS® Ground,1/31/2026 6:26:09 AM,2/2/2026 4:00:00 PM,113-7764396-8189065,RFM-PINS-BUNDLE,RFMPB,1,Plastic Pins + Drill Bit Combo for Rear Floor Mats (RFM),amazon,Amazon Store,93.2,Package
Awaiting Shipment,UPS® Ground,1/31/2026 4:06:07 AM,,400045098,ALUM-CLIP-BLK,ALGCB,1,Aluminum Clips BLACK for Golf EZGO/YAM Set of 4,web,Xtreme Mats,178.0,Package
Awaiting Shipment,UPS® Ground,1/31/2026 4:06:07 AM,,400045098,YAM-DRIVE-RED,GCM16,1,Yamaha Drive1- 1st row RED Trim,web,Xtreme Mats,178.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 8:06:07 PM,2/2/2026 4:00:00 PM,112-3790855-6504261,BW-CLUB-PRESON-BLK,BW09,1,Bag Well Mat for Club Car Precedent/Onward BLACK Trim,amazon,Amazon Store,48.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 7:59:39 PM,2/2/2026 4:00:00 PM,112-1646326-7100215,BW-CLUB-PRESON-BLK,BW09,1,Bag Well Mat for Club Car Precedent/Onward BLACK Trim,amazon,Amazon Store,48.0,Package
Awaiting Shipment,UPS® Ground,1/30/2026 7:52:47 PM,2/2/2026 4:00:00 PM,111-9738455-7499410,ALUM-CLIP-BLK,ALGCB,1,Aluminum Clips BLACK for Golf EZGO/YAM Set of 4,amazon,Amazon Store,162.0,Package
